# U/t, beta*G(beta/2)
0.0 0.943220405
0.4 0.94003141
0.7 0.93337223
1.0 0.922858565
1.4 0.902308075
1.8 0.87326482
2.2 0.834078195
2.6 0.782316925
3.0 0.71442589
3.4 0.625343325
3.8 0.509128275
4.2 0.366692394
4.6 0.2278129755
4.7 0.199125409
4.8 0.1735574005
4.9 0.1510442795
5.0 0.131380111
5.2 0.0994691255
5.3 0.086635053
5.4 0.07551983
5.5 0.0658878685
5.6 0.0575336815
5.7 0.050279647
5.9 0.03848582505
6.1 0.0295343995
6.3 0.02271324395
6.5 0.01749783755
