# U/t, beta*G(beta/2)
0.0 0.994435698
0.4 0.993946194
0.7 0.9929238255
1.0 0.9913082415
1.4 0.9881410005
1.8 0.9836348895
2.2 0.9774769845
2.6 0.9691563255
3.0 0.957831591
3.4 0.942072273
3.8 0.919366032
4.2 0.885108858
4.6 0.8302281795
4.6 0.8302281795
4.7 0.8113159245
4.8 0.789393783
4.9 0.763674528
5.0 0.732961893
5.2 0.6462818385
5.3 0.573268533
5.4 0.00697240233
5.5 0.004308074715
5.6 0.002713501455
5.7 0.001731812955
5.9 0.0007241964345
6.1 0.0003102421755
6.3 0.0001350045204
6.5 5.94556332e-05
