# U/t, beta*G(beta/2)
0.0 0.9912225012
0.4 0.9904679064
0.7 0.9888900516
1.0 0.986389518
1.4 0.9814678428
1.8 0.9744218592
2.2 0.9647215608
2.6 0.951517224
3.0 0.9334352016
3.4 0.9081966876
3.8 0.8718620544
4.2 0.8170552248
4.6 0.7270656828
4.7 0.6943362948
4.8 0.6541947132
4.9 0.6019148832
5.0 0.5224936008
5.1 0.04851186276
5.2 0.02946352956
5.3 0.01920461652
5.4 0.01294434072
5.5 0.008898496632
5.6 0.006196975704
5.7 0.004355549808
5.9 0.002192616468
6.1 0.0011229515076
6.3 0.000581860542
6.5 0.000303983688
