# U/t, beta*G(beta/2)
0.0 0.979472872
0.4 0.977878336
0.7 0.974537848
1.0 0.969234944
1.4 0.95876384
1.8 0.94372296
2.2 0.922969344
2.6 0.894724608
3.0 0.8561666
3.2 0.8316586
3.4 0.80256152
3.6 0.767634392
3.8 0.7250387672
4.2 0.6027693752
4.4 0.5068426136
4.6 0.3582901952
4.7 0.2611279488
4.8 0.1796641352
4.9 0.1269495488
5.0 0.0931062696
5.1 0.0701384544
5.2 0.05380868912
5.3 0.04181003568
5.4 0.03278732296
5.5 0.02588844296
5.6 0.02054858208
5.7 0.01637697216
5.9 0.01049828528
6.1 0.006789207456
6.3 0.004417419432
6.5 0.002887248992
