# U/t, beta*G(beta/2)
0.0 0.99689126
0.4 0.996613502
0.7 0.99603355
1.0 0.99511981
1.4 0.993337632
1.8 0.990822912
2.2 0.98742187
2.6 0.982883572
3.0 0.976790786
3.4 0.968412756
3.8 0.956417322
4.2 0.938237906
4.6 0.908691288
4.8 0.886601806
4.9 0.87283194
5.0 0.856732726
5.1 0.837786198
5.2 0.01273274422
5.3 0.0055462122
5.4 0.00271320344
5.5 0.001397132874
5.6 0.000741481782
5.7 0.00040113926
5.8 0.000220537186
5.9 0.0001227855682
6.0 6.85453414e-05
6.1 3.87430192e-05
6.3 1.25169754e-05
